"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"137","5679","5058","None",2019-02-08,0,0,1,0,10,"yes"
"138","5153","5150","None",2018-07-25,0,0,2,0,30,"yes"
"139","5154","5150","None",2018-07-20,0,1,4,0,12,"yes"
"140","5154","5153","Ficus carica_804",2018-07-19,0,0.86,7,0,12,"yes"
"141","5150","5153","None",2018-07-25,0,1,2,0,5,"yes"
"142","5153","5154","Ficus carica_804",2018-07-19,0,0.14,7,0,7,"yes"
"143","5150","5154","None",2018-07-20,0.27,0,4,3,11,"yes"
"144","5150","5157","None",2018-07-24,0.33,0,2,1,3,"yes"
"145","5462","5425","Melia azedarach_437",2018-11-25,0,0.75,4,0,18,"yes"
"146","5473","5425","None",2018-11-25,0,1,7,0,25,"yes"
"147","5597","5425","None",2018-11-25,0,1,2,0,33,"yes"
"148","5486","5425","None",2018-12-09,0,0,1,0,9,"yes"
"149","5056","5425","Melia azedarach_437",2018-11-25,0,0.5,2,0,9,"yes"
"150","5480","5425","None",2018-11-25,0,1,1,0,15,"yes"
"151","5483","5425","None",2018-11-25,0.11,1,6,1,9,"yes"
"152","5476","5425","Ficus religiosa_19",2018-11-25,0,0.5,6,0,25,"yes"
"153","5589","5425","Melia azedarach_437",2018-11-25,0.11,0.33,3,1,9,"yes"
"154","5431","5429","None",2018-08-25,0,1,1,0,12,"yes"
"155","5429","5431","None",2018-08-25,0,0,1,0,2,"yes"
"156","5433","5431","None",2018-08-22,0,0.5,2,0,7,"yes"
"157","5431","5433","None",2018-08-22,0,0.5,2,0,13,"yes"
"158","5462","5458","None",2018-11-23,0,0.33,3,0,10,"yes"
"159","5473","5458","Washingtonia_333",2018-11-23,0.12,0.4,5,3,25,"yes"
"160","5597","5458","None",2018-11-23,0,1,3,0,23,"yes"
"161","5486","5458","None",2018-12-07,0,0,1,0,15,"yes"
"162","5056","5458","None",2018-11-25,0,0,2,0,9,"no"
"163","5477","5458","None",2018-11-24,0,1,1,0,15,"yes"
"164","5483","5458","Melia azedarach_437",2018-11-23,0.2,0.33,6,3,15,"yes"
"165","5425","5458","None",2018-11-25,0.1,0,3,1,10,"no"
"166","5476","5458","None",2018-12-04,0,0,1,0,7,"no"
"167","5589","5458","Melia azedarach_437",2018-11-23,0.12,0.33,3,1,8,"yes"
"168","5458","5462","None",2018-11-23,0.07,0.67,3,1,15,"yes"
"169","5473","5462","Ficus religiosa_19",2018-11-24,0,0.5,4,0,24,"yes"
"170","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,5,"yes"
"171","5486","5462","1",2018-11-27,0,0.5,2,0,14,"yes"
"172","5056","5462","Melia azedarach_437",2018-11-25,0.11,0.33,3,1,9,"yes"
"173","5480","5462","None",2018-11-24,0,1,1,0,13,"yes"
"174","5483","5462","None",2018-11-23,0.07,0.75,4,1,15,"yes"
"175","5425","5462","Melia azedarach_437",2018-11-25,0,0.25,4,0,10,"yes"
"176","5476","5462","None",2018-11-25,0.04,0.33,3,1,25,"yes"
"177","5589","5462","Melia azedarach_437",2018-11-23,0.25,0.2,5,2,8,"yes"
"178","5479","5471","Ficus carica_673",2018-11-22,0,1,1,0,3,"yes"
"179","5486","5471","None",2018-11-29,0,0,1,0,8,"yes"
"180","5056","5471","None",2018-11-25,0,0.5,2,0,9,"yes"
"181","5476","5471","None",2018-11-25,0,0.25,4,0,25,"yes"
"182","5589","5471","Ficus carica_673",2018-11-24,0,0,1,0,6,"yes"
"183","5458","5473","Washingtonia_333",2018-11-23,0,0.6,5,0,15,"yes"
"184","5462","5473","Ficus religiosa_19",2018-11-24,0.07,0.5,4,1,14,"yes"
"185","5597","5473","None",2018-11-23,0.04,0.75,4,1,23,"yes"
"186","5486","5473","None",2018-11-29,0,0,3,0,8,"yes"
"187","5056","5473","None",2018-11-23,0,0.4,5,0,13,"yes"
"188","5480","5473","Ficus religiosa_19",2018-11-25,0,0,1,0,15,"yes"
