"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"189","5685","5751","None",2019-09-24,0,0.17,6,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"190","5770","5751","None",2019-11-07,0,0,2,0,1,"yes","c(""Palm"", ""Carob"")"
"191","5771","5751","None",2019-11-06,0,0,2,0,2,"yes","c(""Carob"", ""Ficus sycomorus"")"
"192","6026","5751","None",2019-11-06,0,0.14,7,0,2,"yes","c(""Carob"", ""Ficus sycomorus"", ""Palm"", ""Ficus religiosa"")"
"193","6242","5751","unknown_642",2019-11-09,0,0,3,0,1,"yes","Carob"
"194","5667","5751","None",2019-11-07,0,0.14,7,0,1,"yes","Ficus religiosa"
"195","6265","5751","unknown_641",2019-11-06,1,0,5,1,1,"yes","Palm"
"196","5778","5751","Ficus carica_673",2019-11-06,0,0.29,14,0,1,"yes","Palm"
"197","6240","5751","None",2019-12-14,0,0,1,0,1,"yes","Carob"
"198","5734","5759","unknown_241",2019-04-13,0,0.67,3,0,1,"yes","Palm"
"199","6125","5760","None",2019-06-30,0,0,1,0,1,"yes","Palm"
"200","6123","5760","unknown_3311",2019-07-12,0,0,2,0,1,"yes","Ficus religiosa"
"201","5745","5761","unknown_3242",2019-12-09,0,0.83,6,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"202","5770","5761","None",2019-11-07,0,0.75,4,0,1,"yes","c(""Palm"", ""Carob"")"
"203","6181","5761","None",2019-11-10,0,0,1,0,1,"yes","Ficus religiosa"
"204","5781","5761","None",2019-11-08,0,1,2,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"205","5667","5761","None",2019-12-06,0,0,1,0,1,"yes","Palm"
"206","6265","5761","unknown_1435",2019-11-16,0,0.33,9,0,1,"yes","Ficus religiosa"
"207","5778","5761","None",2019-11-07,0,0.5,4,0,2,"yes","Palm"
"208","5744","5761","None",2019-11-11,0,0.57,7,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"209","5703","5763","None",2019-04-10,0,1,2,0,1,"yes","Palm"
"210","5747","5763","Citrus_2",2019-04-13,0,1,1,0,2,"yes","Carob"
"211","5734","5764","Citrus_5",2019-04-20,0,0,1,0,1,"yes","Carob"
"212","5742","5764","Ficus religiosa_20",2019-07-04,0.5,0,5,1,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"213","5751","5764","Ficus religiosa_19",2019-09-08,0,0.07,14,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"214","5748","5764","Mulberry_755",2019-09-07,0,0.4,5,0,2,"yes","c(""Carob"", ""Palm"")"
"215","5743","5764","None",2019-09-23,0,0.33,3,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"216","5685","5764","None",2019-09-24,0,0.2,10,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"217","5782","5769","Citrus_2",2019-03-27,0,0.5,2,0,1,"yes","Carob"
"218","5778","5770","None",2019-11-07,0,0.5,2,0,2,"yes","Palm"
"219","5744","5770","None",2019-12-03,0,0,2,0,2,"yes","Carob"
"220","6181","5771","None",2019-11-07,0,0.5,2,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"221","5781","5771","unknown_1432",2019-11-07,0,1,2,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"222","5667","5771","None",2019-12-06,0,0,1,0,1,"yes","Palm"
"223","6265","5771","unknown_1433",2019-11-07,0,0.5,4,0,1,"yes","Palm"
"224","5778","5771","None",2019-12-11,0,0,1,0,2,"yes","Palm"
"225","5744","5771","None",2019-11-06,0,0.5,2,0,2,"yes","Ficus religiosa"
"226","6125","5777","None",2019-06-30,0,0,1,0,1,"yes","Palm"
"227","6123","5777","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"228","5770","5778","None",2019-11-07,0,0.5,2,0,1,"yes","c(""Palm"", ""Carob"")"
"229","6245","5778","None",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"230","6026","5778","unknown_91",2019-11-13,0,0.75,4,0,1,"yes","c(""Ficus sycomorus"", ""Palm"")"
"231","6242","5778","Ficus carica_671",2019-11-06,0,0.8,5,0,2,"yes","c(""Carob"", ""Palm"")"
"232","5667","5778","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"233","6265","5778","None",2019-11-06,0,0.86,7,0,1,"yes","Palm"
"234","6251","5778","None",2019-11-28,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"235","6246","5778","Ficus carica_414",2019-11-14,0.33,0.56,9,2,6,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"236","5777","5779","None",2019-06-09,1,1,1,1,1,"yes","Ficus microcarpa"
"237","5749","5781","Loquat_443",2019-11-06,0,0.5,4,0,2,"yes","c(""Carob"", ""Ficus religiosa"")"
"238","6250","5781","unknown_1431",2019-11-08,0,0.33,3,0,1,"yes","Palm"
"239","6265","5781","None",2019-11-16,0,0,2,0,1,"yes","Ficus religiosa"
"240","6251","5781","None",2019-11-06,0,0.17,6,0,1,"yes","Ficus religiosa"
"241","5745","6026","None",2019-11-06,0,0.4,5,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"242","5667","6026","None",2019-11-06,0,0.29,7,0,1,"yes","Ficus religiosa"
"243","5778","6026","unknown_91",2019-11-13,0,0.25,4,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"244","6246","6026","None",2019-11-14,0,0,3,0,6,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"245","5745","6027","unknown_3242",2019-11-10,0,1,5,0,1,"yes","Ficus religiosa"
"246","6026","6027","None",2019-11-08,0,1,1,0,3,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"247","5667","6027","None",2019-11-08,0,0.5,2,0,1,"yes","Ficus religiosa"
"248","6265","6027","None",2019-11-14,0,0,1,0,1,"yes","Palm"
"249","5761","6027","None",2019-12-09,0,0,1,0,1,"yes","Ficus religiosa"
"250","6251","6027","None",2019-11-28,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"251","5778","6027","None",2019-11-08,0,0.33,3,0,1,"yes","Palm"
"252","5744","6027","None",2019-11-13,0,0,3,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"253","6125","6123","unknown_92",2019-07-02,1,0.43,7,1,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"254","5737","6125","None",2019-06-30,0,1,1,0,1,"yes","Ficus religiosa"
