"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"193","5597","5473","None",2018-11-23,0.03,0.75,4,1,40,"yes","c(""UK"", ""Plum"", ""Washingtonia"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"", ""Persimmon"", ""Palm"", ""Loquat"", ""Ficus religiosa"", ""Cherry plum"", ""Citrus"")"
"194","5486","5473","None",2018-11-29,0,0,3,0,16,"yes","c(""Har Gershom"", ""Ficus carica"", ""UK"", ""Washingtonia"", ""Mulberry"", ""Avocado"", ""Palm"", ""Melia azedarach"", ""Loquat"", ""Einan"")"
"195","5056","5473","None",2018-11-23,0,0.4,5,0,15,"yes","c(""UK"", ""Mulberry"", ""Melia azedarach"", ""Loquat"", ""Ficus religiosa"", ""Palm"", ""Ficus carica"", ""Plum"", ""Jujube"")"
"196","5480","5473","Ficus religiosa_19",2018-11-25,0,0,1,0,17,"yes","c(""UK"", ""Ficus religiosa"", ""Washingtonia"", ""Palm"", ""Plum"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"", ""Loquat"")"
"197","5483","5473","None",2018-11-23,0.11,0.36,11,2,18,"yes","c(""Mulberry"", ""UK"", ""Melia azedarach"", ""Plum"", ""Persimmon"", ""Washingtonia"", ""Ficus carica"", ""Ficus religiosa"", ""Cherry plum"", ""Palm"")"
"198","5425","5473","None",2018-11-25,0.07,0,7,1,14,"yes","c(""UK"", ""Loquat"", ""Plum"", ""Mulberry"", ""Melia azedarach"", ""Ficus religiosa"", ""Persimmon"", ""Palm"", ""Ficus carica"", ""Washingtonia"", ""Cherry plum"")"
"199","5476","5473","None",2018-11-24,0.06,0.17,6,2,34,"yes","c(""UK"", ""Washingtonia"", ""Avocado"", ""Papaya"", ""Cherry plum"", ""Ziziphus spina-christi"", ""Loquat"", ""Mulberry"", ""Carob"", ""Ceratonia siliqua"", ""Ficus religiosa"", ""Plum"", ""Palm"", ""Ficus carica"", ""Persimmon"", ""Jujube"", ""Melia azedarach"")"
"200","5589","5473","Melia azedarach_437",2018-11-27,0,0.33,3,0,8,"yes","c(""Ficus carica"", ""Melia azedarach"", ""Mulberry"", ""UK"", ""Palm"", ""Loquat"")"
"201","5462","5476","None",2018-11-25,0.03,0.67,3,1,30,"yes","c(""Plum"", ""Melia azedarach"", ""Ficus religiosa"", ""Ficus carica"", ""Mulberry"", ""Persimmon"", ""UK"", ""Har Gershom"", ""Washingtonia"", ""Carob"")"
"202","5471","5476","None",2018-11-25,0,0.75,4,0,24,"yes","c(""Ficus carica"", ""Washingtonia"", ""Jujube"", ""Mulberry"", ""Melia azedarach"", ""UK"", ""Palm"", ""Loquat"", ""Carob"", ""Avocado"", ""Peach"")"
