TAG,duration,num_loc,position_qlt,dummy,medX,medY,night_number,time_start,time_end,month,X_tree,Y_tree,tree_sp,cluster_ID,TAG_Night,date_global,Number_of_Nights,cave_origin
5150,6,94,0.556240994,no,256101.9411,785292.2828,5,20:23:35,20:29:13,7,256118,785292,Mulberry,Mulberry_495,5150_5,2018-07-22,18,Har Gershom
5150,3,87,0.925576224,no,256030.3326,785216.6677,5,21:20:15,21:23:23,7,256015,785234,Mulberry,Mulberry_505,5150_5,2018-07-22,18,Har Gershom
5150,3,74,0.778988368,no,256077.6266,785282.0016,5,22:58:37,23:01:47,7,256094,785316,Mulberry,Mulberry_495,5150_5,2018-07-22,18,Har Gershom
5150,7,199,0.995054728,no,256068.3657,785202.6799,5,21:39:51,21:46:31,7,256050,785186,Avocado,Avocado_161,5150_5,2018-07-22,18,Har Gershom
5150,23,640,0.918269693,no,256065.118,785213.2567,5,20:51:17,21:14:31,7,256050,785186,Avocado,Avocado_161,5150_5,2018-07-22,18,Har Gershom
5150,12,135,0.373980384,no,256170.8562,785302.7626,5,22:23:03,22:35:05,7,256164,785283,Apple,Apple_33,5150_5,2018-07-22,18,Har Gershom
5150,9,204,0.769851992,no,256023.6222,785225.1154,5,21:51:45,22:00:35,7,256015,785234,Mulberry,Mulberry_505,5150_5,2018-07-22,18,Har Gershom
5150,4,62,0.508223799,no,256189.6279,785284.3481,5,22:02:29,22:06:33,7,256164,785283,Apple,Apple_33,5150_5,2018-07-22,18,Har Gershom
5154,6,75,0.414379522,no,256145.7619,785268.1012,5,23:46:33,23:52:35,7,256154,785272,Mulberry,Mulberry_494,5154_5,2018-07-22,15,
5154,4,30,0.277788066,no,256162.7415,785255.6823,5,00:04:01,00:07:37,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5154_5,2018-07-22,15,
5150,5,75,0.471723331,no,256075.5378,785214.3032,5,23:29:11,23:34:29,7,256098,785213,Melia azedarach,Melia azedarach_439,5150_5,2018-07-22,18,Har Gershom
5150,14,279,0.654964171,no,256129.81,785267.8168,5,22:07:35,22:21:47,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5150_5,2018-07-22,18,Har Gershom
5150,2,11,0.154937215,no,256114.0275,785290.1993,5,20:12:33,20:14:55,7,256118,785292,Mulberry,Mulberry_495,5150_5,2018-07-22,18,Har Gershom
5150,6,50,0.265971594,no,256114.0758,785287.4129,5,20:43:19,20:49:35,7,256118,785292,Mulberry,Mulberry_495,5150_5,2018-07-22,18,Har Gershom
5153,7,34,0.171723243,no,256073.6585,785239.0333,6,20:30:55,20:37:31,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_6,2018-07-23,13,Zemer cave
5154,3,38,0.391764694,no,256099.1331,785207.6638,6,19:33:02,19:36:16,7,256115,785218,Mulberry,Mulberry_493,5154_6,2018-07-23,15,
5154,4,58,0.479354689,no,256167.0415,785279.493,6,19:39:22,19:43:24,7,256163,785279,Avocado,Avocado_154,5154_6,2018-07-23,15,
5154,11,30,0.089288903,no,256110.3424,785251.4299,7,21:10:09,21:21:21,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_7,2018-07-24,15,
5153,17,197,0.382538385,no,256167.6227,785210.7713,8,00:06:32,00:23:42,7,256171,785226,Loquat,Loquat_376,5153_8,2018-07-25,13,Zemer cave
5153,8,188,0.806896389,no,256136.7066,785261.9318,8,23:46:38,23:54:24,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5153_8,2018-07-25,13,Zemer cave
5153,7,183,0.89271341,no,256093.795,785235.6378,8,23:55:34,00:02:24,7,256098,785213,Melia azedarach,Melia azedarach_439,5153_8,2018-07-25,13,Zemer cave
5153,3,72,0.847088721,no,256127.9938,785207.8743,8,00:25:02,00:27:52,7,256115,785218,Mulberry,Mulberry_493,5153_8,2018-07-25,13,Zemer cave
5153,1,23,0.575014375,no,256132.263,785221.8755,8,23:34:58,23:36:18,7,256115,785218,Mulberry,Mulberry_493,5153_8,2018-07-25,13,Zemer cave
5153,3,62,0.696652696,no,256108.6982,785278.1055,9,00:00:57,00:03:55,7,256118,785292,Mulberry,Mulberry_495,5153_9,2018-07-26,13,
5153,19,502,0.871558797,no,256088.0199,785240.1119,9,00:04:57,00:24:09,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_9,2018-07-26,13,
5153,2,52,0.7222473,no,256090.249,785246.3276,9,00:30:33,00:32:57,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_9,2018-07-26,13,
5153,7,125,0.615784781,no,256109.4543,785276.5836,9,23:51:13,23:57:59,7,256118,785292,Mulberry,Mulberry_495,5153_9,2018-07-26,13,
5153,3,81,1.012531642,no,256077.7339,785227.9612,9,00:42:25,00:45:05,7,256098,785213,Melia azedarach,Melia azedarach_439,5153_9,2018-07-26,13,
5153,7,187,0.869797784,no,256129.9178,785271.8794,9,00:34:09,00:41:19,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5153_9,2018-07-26,13,
5153,4,86,0.761088888,no,256027.9083,785244.7967,9,00:25:27,00:29:13,7,256032,785251,Ficus carica,Ficus carica_512,5153_9,2018-07-26,13,
5153,7,171,0.81821118,no,256106.6032,785239.5766,10,19:10:02,19:17:00,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_10,2018-07-27,13,Zemer cave
5153,11,220,0.681138802,no,256116.8458,785242.6434,10,20:49:08,20:59:54,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_10,2018-07-27,13,Zemer cave
5153,19,206,0.370516592,no,256118.075,785275.7832,10,22:09:48,22:28:20,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_10,2018-07-27,13,Zemer cave
5153,8,161,0.6492158,no,256143.2467,785261.3392,10,19:00:44,19:09:00,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5153_10,2018-07-27,13,Zemer cave
5153,2,11,0.192989228,no,256150.8409,785271.2748,10,22:05:52,22:07:46,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5153_10,2018-07-27,13,Zemer cave
5153,31,344,0.371904959,no,256143.0851,785257.5314,10,22:58:24,23:29:14,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5153_10,2018-07-27,13,Zemer cave
5153,5,158,1.000034811,no,256088.1354,785242.0495,11,23:12:11,23:17:27,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_11,2018-07-28,13,Zemer cave
5153,9,84,0.302169143,no,256102.3815,785291.6588,11,23:01:53,23:11:09,7,256118,785292,Mulberry,Mulberry_495,5153_11,2018-07-28,13,Zemer cave
5598,0,1,inf,no,256075.9932,785320.8639,6,00:04:38,00:04:38,3,256085,785320,Mulberry,Mulberry_495,5598_6,2019-03-16,7,Einan
5728,3,13,0.619069729,no,256112.3222,785205.6212,37,21:59:41,22:02:29,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,13,38,0.404270372,no,256106.888,785214.4906,37,21:09:09,21:21:41,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,6,9,0.195659617,no,256108.0943,785201.6027,37,20:43:25,20:49:33,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,5,21,0.525018047,no,256029.3264,785235.6416,37,23:01:57,23:07:17,4,256032,785251,Ficus carica,Ficus carica_512,5728_37,2019-04-30,38,Har Gershom
5728,0,3,1.5,no,256126.4903,785224.4603,37,18:48:29,18:48:45,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,0,1,inf,no,256101.678,785243.0805,37,23:40:29,23:40:29,4,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5728_37,2019-04-30,38,Har Gershom
5728,3,8,0.421069253,no,256089.8501,785264.0968,37,18:51:17,18:53:49,4,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5728_37,2019-04-30,38,Har Gershom
5728,30,82,0.359662334,no,256115.5822,785208.5608,37,19:17:49,19:48:13,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,3,6,0.300009375,no,256089.7876,785238.3692,37,20:19:17,20:21:57,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,30,93,0.40790972,no,256099.7584,785221.1944,37,18:12:45,18:43:09,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,6,14,0.31819357,no,256068.7496,785242.18,37,23:32:53,23:38:45,4,256032,785251,Ficus carica,Ficus carica_512,5728_37,2019-04-30,38,Har Gershom
5728,2,8,0.500015625,no,256130.4967,785212.5134,37,19:09:17,19:11:25,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,8,31,0.500018146,no,256119.9517,785211.1446,37,21:40:53,21:49:09,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,17,66,0.515643632,no,256102.0205,785232.6573,37,22:10:53,22:27:57,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,4,21,0.677443939,no,256109.8205,785196.9555,37,21:02:29,21:06:37,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,2,12,0.85717347,no,256081.5171,785207.2237,37,19:51:25,19:53:17,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,17,55,0.423092382,no,256127.0091,785204.5402,37,20:23:33,20:40:53,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,8,19,0.306462735,no,256101.9586,785217.9371,37,21:31:25,21:39:41,4,256098,785213,Melia azedarach,Melia azedarach_439,5728_37,2019-04-30,38,Har Gershom
5728,20,59,0.40137522,no,256120.2112,785204.68,37,19:58:13,20:17:49,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,1,5,0.714311225,no,256206.092,785267.5281,37,23:59:49,00:00:45,4,256186,785255,Loquat,Loquat_376,5728_37,2019-04-30,38,Har Gershom
5728,17,127,0.976958773,no,256113.958,785215.7881,37,22:32:37,22:49:57,4,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5728,2,8,0.444462964,no,256103.6,785170.4694,37,22:03:57,22:06:21,4,256124,785170,Mulberry,Mulberry_500,5728_37,2019-04-30,38,Har Gershom
5728,0,2,2,no,256153.1267,785182.9626,37,00:06:21,00:06:29,5,256137,785161,Melia azedarach,Melia azedarach_443,5728_37,2019-04-30,38,Har Gershom
5728,64,374,0.779194263,no,256116.0817,785207.2428,37,00:08:37,01:12:37,5,256115,785218,Mulberry,Mulberry_493,5728_37,2019-04-30,38,Har Gershom
5734,5,33,0.825033517,no,256106.0807,785203.7568,38,22:31:06,22:36:26,5,256098,785213,Melia azedarach,Melia azedarach_439,5734_38,2019-05-01,38,Har Gershom
5734,10,68,0.894773634,no,256121.3613,785218.4725,38,22:39:46,22:49:54,5,256115,785218,Mulberry,Mulberry_493,5734_38,2019-05-01,38,Har Gershom
5734,4,10,0.30304293,no,256135.3929,785166.0433,38,21:37:54,21:42:18,5,256137,785161,Melia azedarach,Melia azedarach_443,5734_38,2019-05-01,38,Har Gershom
5734,5,31,0.794904916,no,256137.0619,785207.7617,38,21:31:30,21:36:42,5,256115,785218,Mulberry,Mulberry_493,5734_38,2019-05-01,38,Har Gershom
5734,4,21,0.656275636,no,256170.1677,785203.3306,38,21:24:50,21:29:06,5,256171,785226,Loquat,Loquat_376,5734_38,2019-05-01,38,Har Gershom
5728,8,5,0.084748815,no,256199.5168,785231.2775,38,22:26:18,22:34:10,5,256219,785231,Papaya,Papaya_29,5728_38,2019-05-01,38,Har Gershom
5728,3,13,0.650024376,no,256118.1646,785214.0281,38,19:21:30,19:24:10,5,256115,785218,Mulberry,Mulberry_493,5728_38,2019-05-01,38,Har Gershom
5728,9,59,0.83101664,no,256120.7289,785229.4139,38,20:41:14,20:50:42,5,256115,785218,Mulberry,Mulberry_493,5728_38,2019-05-01,38,Har Gershom
5728,5,15,0.384630178,no,256106.5294,785218.7902,38,19:40:42,19:45:54,5,256098,785213,Melia azedarach,Melia azedarach_439,5728_38,2019-05-01,38,Har Gershom
5728,6,21,0.500017858,no,256074.3271,785238.6056,38,21:26:26,21:32:02,5,256098,785213,Melia azedarach,Melia azedarach_439,5728_38,2019-05-01,38,Har Gershom
5728,6,27,0.642882016,no,256108.2353,785186.441,38,19:56:58,20:02:34,5,256124,785170,Mulberry,Mulberry_500,5728_38,2019-05-01,38,Har Gershom
5728,0,4,1.333388891,no,256130.4016,785184.0416,38,22:03:38,22:04:02,5,256124,785170,Mulberry,Mulberry_500,5728_38,2019-05-01,38,Har Gershom
5728,6,27,0.642880103,no,256107.6498,785218.3782,38,19:33:30,19:39:06,5,256098,785213,Melia azedarach,Melia azedarach_439,5728_38,2019-05-01,38,Har Gershom
5728,8,33,0.550020626,no,256122.1766,785217.9858,38,21:08:50,21:16:50,5,256115,785218,Mulberry,Mulberry_493,5728_38,2019-05-01,38,Har Gershom
5728,0,1,inf,no,256137.5285,785260.4716,38,20:59:14,20:59:14,5,256132,785266,Surinam Cherry,Surinam Cherry_56,5728_38,2019-05-01,38,Har Gershom
5728,0,1,inf,no,256076.6424,785189.1057,38,18:43:46,18:43:46,5,256050,785186,Avocado,Avocado_161,5728_38,2019-05-01,38,Har Gershom
5734,2,8,0.571454083,no,256146.2619,785244.9509,38,22:51:06,22:52:58,5,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5734_38,2019-05-01,38,Har Gershom
